PLAYER	POSITION	STARTING PRICE
Jade Gresham	FWD	$563,000
Nate Caddy	FWD	$562,000
Harrison Jones	MID/FWD	$523,000
Zak Johnson	DEF	$513,000
Isaac Kako	FWD	$493,000
Archie May	FWD	$490,000
Saad El-Hawli	MID/DEF	$450,000
Matt Guelfi	FWD	$445,000
Elijah Tsatas	MID	$444,000
Ben McKay	DEF	$409,000
Lachlan Blakiston	DEF/RUC	$399,000
Lewis Hayes	DEF	$398,000
Vigo Visentini	RUC	$395,000
Nikolas Cox	MID	$388,000
Liam McMahon	FWD	$337,000
Tom Edwards	FWD	$319,000
Sullivan Robey	MID/FWD	$318,000
Jayden Nguyen	DEF	$314,000
Jacob Farrow	DEF/MID	$314,000
Dyson Sharp	MID/FWD	$302,000
Archer Day-Wicks	FWD/MID	$294,000
Rhys Unwin	FWD	$238,000
Max Kondogiannis	DEF	$230,000
Hussien El Achkar	FWD	$230,000
Kayle Gerreyn	RUC	$230,000
Jaxon Artemis	DEF	$230,000
DOCKERS		
Andrew Brayshaw	MID	$1,060,000
Luke Jackson	RUC	$995,000
Caleb Serong	MID	$970,000
Jordan Clark	DEF	$946,000
Hayden Young	MID	$916,000
Luke Ryan	DEF	$859,000
Matt Johnson	MID	$740,000
Shai Bolton	MID/FWD	$734,000
Nathan O'Driscoll	MID	$675,000
Corey Wagner	MID/DEF	$674,000
Sean Darcy	RUC	$674,000
Jaeger O'Meara	MID	$663,000
Josh Treacy	FWD	$658,000
Michael Frederick	FWD/MID	$617,000
Neil Erasmus	MID	$596,000
Murphy Reid	FWD/MID	$581,000
Karl Worner	DEF	$579,000
Sam Switkowski	FWD	$578,000
Patrick Voss	FWD	$575,000
Judd McVee	DEF	$571,000
Heath Chapman	DEF	$562,000
Bailey Banfield	DEF	$556,000
Jeremy Sharp	MID	$505,000
Mason Cox	RUC/FWD	$497,000
Alex Pearce	DEF	$482,000
Oscar McDonald	DEF	$472,000
Brennan Cox	DEF	$466,000
Brandon Walker	DEF	$439,000
Jye Amiss	FWD	$430,000
Isaiah Dudley	FWD	$385,000
Sam Sturt	FWD	$355,000
Cooper Simpson	DEF	$340,000
Joshua Draper	DEF	$330,000
Adam Sweid	MID	$254,000
Hugh Davies	DEF	$230,000
Ollie Murphy	DEF	$230,000
Jaren Carr	FWD	$230,000
Charlie Nicholls	FWD	$230,000
Ryda Luke	FWD	$230,000
Tobyn Murray	FWD	$230,000
Toby Whan	MID	$230,000
Leon Kickett	MID/FWD	$230,000
Aiden Riddle	RUC	$230,000
Chris Scerri	MID/FWD	$230,000
CATS		
Bailey Smith	MID	$1,220,000
Max Holmes	MID/DEF	$1,059,000
Gryan Miers	FWD	$984,000
Shaun Mannagh	FWD	$924,000
Tom Atkins	MID	$921,000
Jeremy Cameron	FWD	$877,000
Thomas Stewart	DEF	$844,000
Zach Guthrie	DEF	$805,000
James Worpel	MID	$775,000
Jack Martin	FWD	$766,000
Ollie Dempsey	MID	$763,000
Mark Blicavs	RUC/MID	$744,000
Lawson Humphries	DEF	$740,000
Mark O'Connor	DEF/MID	$676,000
Rhys Stanley	RUC	$675,000
Patrick Dangerfield	FWD	$667,000
Tyson Stengle	FWD	$647,000
Shannon Neale	FWD	$643,000
Jack Henry	DEF/FWD	$632,000
Jack Bowes	MID	$617,000
Connor O'Sullivan	DEF	$603,000
Sam De Koning	DEF	$586,000
Bradley Close	FWD	$566,000
Toby Conway	RUC	$552,000
Jed Bews	DEF	$523,000
Tanner Bruhn	MID/DEF	$517,000
Mitchell Knevitt	MID	$495,000
Oisin Mullin	DEF/MID	$489,000
Jhye Clark	MID/FWD	$451,000
Jake Kolodjashnij	DEF	$434,000
Oliver Henry	FWD	$430,000
George Stevens	MID	$419,000
Oliver Wiltshire	FWD	$275,000
Harley Barker	MID	$258,000
Lennox Hofmann	DEF	$230,000
Cillian Burke	DEF	$230,000
Keighton Matofai-Forbes	DEF/FWD	$230,000
Jay Polkinghorne	FWD	$230,000
Jesse Mellor	FWD	$230,000
Nicholas Driscoll	MID	$230,000
Hunter Holmes	MID	$230,000
Mitchell Edwards	RUC	$230,000
Jacob Molier	RUC	$230,000
Joe Pike	RUC	$230,000
SUNS		
Matt Rowell	MID	$1,062,000
Noah Anderson	MID	$1,044,000
Jarrod Witts	RUC	$969,000
Touk Miller	MID/FWD	$955,000
John Noble	DEF	$953,000
Christian Petracca	MID/FWD	$948,000
Joel Jeffrey	DEF	$794,000
Daniel Rioli	DEF	$747,000
Bailey Humphrey	MID/FWD	$717,000
Wil Powell	DEF/MID	$701,000
Bodhi Uwland	DEF	$662,000
Ben Long	FWD	$652,000
Sam Clohesy	MID	$652,000
Ned Moyle	RUC	$643,000
Alex Davies	MID	$611,000
Mac Andrew	DEF	$587,000
Will Graham	FWD/MID	$578,000
Lachlan Weller	MID	$571,000
Jy Farrar	FWD	$565,000
Samuel Collins	DEF	$544,000
Ben King	FWD	$528,000
Jamarra Ugle-Hagan	FWD	$458,000
Ethan Read	FWD	$453,000
Jed Walter	FWD	$397,000
Nicholas Holman	MID/FWD	$385,000
Charlie Ballard	DEF	$384,000
Lachlan Gulbin	FWD	$383,000
Elliott Himmelberg	FWD	$374,000
Jake Rogers	FWD	$362,000
Zeke Uwland	DEF/MID	$346,000
Dylan Patterson	DEF	$334,000
Ben Jepson	MID	$291,000
Jai Murray	MID	$286,000
Beau Addinsall	MID	$282,000
Oscar Adams	DEF	$260,000
Avery Thomas	DEF	$242,000
Caleb Graham	DEF	$238,000
Cooper Bell	DEF/FWD	$230,000
Leo Lombard	FWD	$230,000
Caleb Lewis	FWD	$230,000
Asher EasHarrison Himmelbergtham	FWD	$230,000
Zak Evans	MID	$230,000
Koby Coulson	MID	$230,000
Max Knobel	RUC	$230,000
GIANTS		
Lachie Whitfield	DEF	$1,104,000
Lachlan Ash	DEF	$1,050,000
Finn Callaghan	MID	$1,038,000
Tom Green	MID	$1,023,000
Clayton Oliver	MID	$941,000
Toby Greene	FWD/MID	$850,000
Josh Kelly	MID	$848,000
Harry Himmelberg	DEF	$820,000
Brent Daniels	FWD/MID	$793,000
Stephen Coniglio	MID/FWD	$783,000
Connor Idun	DEF	$763,000
Kieren Briggs	RUC	$738,000
Jake Riccardi	RUC/FWD	$715,000
Ryan Angwin	MID	$695,000
Jayden Laverde	DEF	$689,000
Jesse Hogan	FWD	$685,000
Darcy Jones	FWD	$651,000
Sam Taylor	DEF	$649,000
Aaron Cadman	FWD	$623,000
Callum Brown	FWD	$607,000
Xavier O'Halloran	MID/FWD	$603,000
Toby Bedford	MID/FWD	$589,000
Jack Buckley	DEF	$579,000
Jake Stringer	FWD	$561,000
Harry Rowston	MID	$544,000
Harvey Thomas	FWD/MID	$537,000
Nick Madden	RUC	$525,000
Joseph Fonti	DEF	$521,000
Conor Stone	DEF	$485,000
Toby McMullin	MID	$443,000
Leek Aleer	DEF	$381,000
Cody Angove	FWD	$361,000
Max Gruzewski	FWD	$361,000
Oskar Taylor	DEF	$294,000
James Leake	DEF/FWD	$262,000
Josaia Delana	FWD	$232,000
Harrison Oliver	DEF	$230,000
Finnegan Davis	DEF	$230,000
Phoenix Gothard	FWD	$230,000
Nathan Wardius	FWD	$230,000
Jack Ough	MID	$230,000
Oliver Hannaford	MID/FWD	$230,000
Riley Hamilton	MID/FWD	$230,000
Logan Smith	RUC	$230,000
HAWKS		
Lloyd Meek	RUC	$978,000
Karl Amon	DEF	$930,000
Jai Newcombe	MID	$907,000
Dylan Moore	FWD	$858,000
James Sicily	DEF	$830,000
Jarman Impey	DEF	$810,000
Will Day	MID	$802,000
Josh Ward	MID	$796,000
Jack Ginnivan	FWD	$790,000
Jack Gunston	FWD	$777,000
Conor Nash	MID	$777,000
Harry Morrison	MID	$744,000
Massimo D'Ambrosio	MID	$739,000
Josh Battle	DEF	$737,000
Joshua Weddle	DEF	$731,000
Connor Macdonald	FWD	$714,000
Blake Hardwick	DEF	$658,000
Cameron Mackenzie	MID	$656,000
Mabior Chol	FWD	$627,000
Jack Scrimshaw	DEF	$564,000
Nick Watson	FWD	$523,000
Finn Maginness	FWD	$513,000
Sam Butler	MID/FWD	$489,000
Ned Reeves	RUC	$482,000
Max Ramsden	FWD	$458,000
Henry Hustwaite	MID	$443,000
Tom Barrass	DEF	$432,000
Calsher Dear	FWD	$427,000
Mitchell Lewis	FWD	$420,000
Cameron Nairn	MID/FWD	$274,000
Aidan Schubert	RUC/FWD	$262,000
James Blanck	DEF	$230,000
William McCabe	DEF	$230,000
Bodie Ryan	DEF	$230,000
Bailey Macdonald	DEF	$230,000
Noah Mraz	DEF	$230,000
Matt Hill	DEF	$230,000
Cody Anderson	MID	$230,000
Ollie Greeves	MID	$230,000
Jack Dalton	MID	$230,000
Matthew LeRay	MID	$230,000
Jaime Uhr-Henry	RUC	$230,000
Flynn Perez	DEF	$310,000
Max Beattie	MID/FWD	$230,000
DEMONS		
Max Gawn	RUC	$1,188,000
Jack Steele	MID	$1,006,000
Christian Salem	DEF	$975,000
Jack Viney	MID	$927,000
Kysaiah Pickett	MID/FWD	$915,000
Jake Bowey	DEF	$907,000
Trent Rivers	DEF	$865,000
Ed Langdon	MID/FWD/DEF	$778,000
Steven May	DEF	$757,000
Kade Chandler	FWD	$720,000
Bayley Fritsch	FWD	$665,000
Harvey Langford	MID	$658,000
Tom Sparrow	FWD/MID	$641,000
Tom McDonald	DEF	$624,000
Brody Mihocek	FWD	$616,000
Daniel Turner	DEF	$610,000
Jake Melksham	FWD	$571,000
Caleb Windsor	DEF/MID	$565,000
Changkuoth Jiath	DEF	$563,000
Jacob van Rooyen	FWD	$563,000
Koltyn Tholstrup	FWD/DEF	$555,000
Jake Lever	DEF	$553,000
Xavier Lindsay	MID/DEF	$550,000
Jai Culley	MID	$514,000
Harrison Petty	FWD/DEF	$505,000
Blake Howes	DEF	$459,000
Andy Moniz-Wakefield	DEF	$384,000
Max Heath	RUC/FWD	$376,000
Jack Henderson	FWD	$369,000
Shane McAdam	FWD	$326,000
Harry Sharp	FWD	$321,000
Xavier Taylor	DEF	$310,000
Latrelle Pickett	FWD	$306,000
Tom Campbell	RUC	$297,000
Aidan Johnson	FWD	$275,000
Bailey Laurie	FWD	$274,000
Matthew Jefferson	FWD	$274,000
Thomas Matthews	FWD	$234,000
Jed Adams	DEF	$230,000
Oscar Berry	DEF	$230,000
Ricky Mentha	DEF/FWD	$230,000
Luker Kentfield	FWD	$230,000
Riley Onley	MID	$230,000
Kalani White	RUC/FWD	$230,000
Paddy Cross	FWD/MID	$230,000
Lukas Cooke	DEF	$230,000
Joel Fitzgerald	MID	$230,000
Max Mapley	RUC	$230,000
KANGAROOS		
Harry Sheezel	MID/FWD	$1,145,000
Tristan Xerri	RUC	$1,101,000
Luke Davies-Uniacke	MID	$920,000
Tom Powell	MID/FWD	$912,000
Luke Parker	MID/DEF	$909,000
Caleb Daniel	DEF	$892,000
Jy Simpkin	MID/FWD	$872,000
Colby McKercher	DEF/FWD	$823,000
Zac Fisher	FWD	$787,000
Paul Curtis	FWD	$745,000
George Wardlaw	MID	$713,000
Dylan Stephens	MID	$670,000
Luke McDonald	DEF	$636,000
Nick Larkey	FWD	$615,000
Cameron Zurhaar	FWD/DEF	$605,000
Aidan Corr	DEF	$576,000
Finn O'Sullivan	DEF/MID	$564,000
Jack Darling	FWD	$536,000
Riley Hardeman	DEF	$504,000
Charlie Comben	DEF	$500,000
Cooper Trembath	FWD	$500,000
Toby Pink	DEF	$496,000
Griffin Logue	DEF	$494,000
Bailey Scott	MID	$469,000
Jacob Konstanty	FWD	$457,000
Cooper Harvey	FWD	$442,000
Charlie Spargo	FWD	$422,000
Wil Dawson	DEF	$380,000
Jackson Archer	DEF	$363,000
Robert Hansen Jr	MID/FWD	$348,000
Zane Duursma	DEF/FWD	$325,000
Lachy Dovaston	FWD	$290,000
Zac Banch	FWD	$271,000
Blake Thredgold	DEF	$250,000
Josh Goater	DEF	$235,000
Matt Whitlock	DEF/FWD	$230,000
Brayden George	FWD	$230,000
Luke Urquhart	MID	$230,000
River Stevens	MID/FWD	$230,000
Hugo Mikunda	MID/FWD	$230,000
Callum Coleman-Jones	RUC	$230,000
Taylor Goad	RUC	$230,000
Tom Blamires	DEF/MID	$230,000
Oliver Griffin	FWD	$230,000
POWER		
Connor Rozee	DEF/MID	$1,092,000
Zak Butters	MID	$1,047,000
Oliver Wines	MID	$938,000
Jason Horne-Francis	MID/FWD	$862,000
Jordon Sweet	RUC	$854,000
Miles Bergman	DEF	$822,000
Kane Farrell	DEF	$818,000
Willem Drew	MID	$788,000
Jase Burgoyne	DEF/MID	$778,000
Mitch Georgiades	FWD	$727,000
Joe Richards	FWD	$685,000
Sam Powell-Pepper	FWD	$673,000
Aliir Aliir	DEF	$597,000
Mani Liddy	MID	$597,000
Darcy Byrne-Jones	FWD/DEF	$593,000
Jack Lukosius	FWD	$585,000
Ewan Mackinlay	MID/FWD	$574,000
Ivan Soldo	RUC/FWD	$555,000
Jacob Wehr	DEF/MID	$548,000
Dante Visentini	RUC/FWD	$539,000
Jackson Mead	MID	$538,000
Logan Evans	DEF	$518,000
Esava Ratugolea	DEF	$516,000
Christian Moraes	MID/FWD	$497,000
Brandon Zerk-Thatcher	DEF	$496,000
Josh Sinn	DEF	$476,000
Will Brodie	MID	$457,000
Lachlan Jones	DEF	$452,000
Will Lorenz	MID	$437,000
Corey Durdin	FWD	$425,000
Joe Berry	FWD	$415,000
Todd Marshall	FWD/DEF	$394,000
Jack Whitlock	FWD	$368,000
Ollie Lord	FWD	$308,000
Harrison Ramm	DEF	$268,000
Tom Cochrane	FWD	$265,000
Jacob Moss	DEF	$230,000
Xavier Walsh	FWD	$230,000
Tom Anastasopoulos	FWD	$230,000
Benny Barrett	MID	$230,000
Josh Lai	MID/DEF	$230,000
Jack Watkins	MID/FWD	$230,000
Balyn O'Brien	DEF	$230,000
Mitch Zadow	FWD	$230,000
Xavier Bamert	MID	$230,000
Alex van Wyk	RUC	$230,000
TIGERS		
Tim Taranto	MID	$985,000
Toby Nankervis	RUC	$956,000
Jayden Short	DEF	$913,000
Jacob Hopper	MID	$884,000
Sam Banks	DEF/MID	$831,000
Dion Prestia	MID/FWD	$827,000
Nick Vlastuin	DEF	$811,000
Jack Ross	MID/FWD	$767,000
Kane McAuliffe	MID	$656,000
Nathan Broad	DEF	$638,000
Rhyan Mansell	FWD	$613,000
Seth Campbell	FWD	$613,000
Ben Miller	DEF	$607,000
Tyler Sonsie	MID/FWD	$604,000
Tom Brown	DEF	$599,000
Hugo Ralphsmith	MID	$594,000
Luke Trainor	DEF	$576,000
Sam Lalor	FWD/MID	$567,000
Noah Balta	DEF/FWD	$553,000
Tom Lynch	FWD	$551,000
James Trezise	MID/DEF	$487,000
Taj Hotton	FWD	$485,000
Maurice Rioli	FWD	$435,000
Kaleb Smith	DEF	$418,000
Thomas Sims	FWD	$393,000
Steely Green	FWD	$381,000
Campbell Gray	DEF/RUC	$370,000
Jonty Faull	FWD	$370,000
Mykelti Lefau	FWD	$342,000
Samson Ryan	RUC	$335,000
Sam Cumming	MID	$326,000
Samuel Grlj	DEF/MID	$322,000
Harry Armstrong	FWD	$319,000
Josh Gibcus	DEF	$230,000
Liam Fawcett	FWD	$230,000
Judson Clarke	FWD	$230,000
Jasper Alger	FWD	$230,000
Patrick Retschko	MID	$230,000
Josh Smillie	MID	$230,000
Noah Roberts-Thomson	MID	$230,000
Zane Peucker	MID/FWD	$230,000
Oliver Hayes-Brown	RUC	$230,000
Thomas Burton	MID	$230,000
Kye Annand	DEF	$230,000
SAINTS		
Nasiah Wanganeen-Milera	DEF/MID	$1,163,000
Rowan Marshall	RUC/FWD	$1,110,000
Jack Sinclair	DEF	$1,057,000
Jack Macrae	MID	$954,000
Tom De Koning	RUC	$889,000
Marcus Windhager	MID/DEF	$860,000
Callum Wilkie	DEF	$846,000
Bradley Hill	MID/FWD/DEF	$782,000
Mason Wood	MID/FWD	$721,000
Sam Flanders	FWD/MID/DEF	$716,000
Ryan Byrnes	DEF/MID	$703,000
Max Hall	FWD/MID	$694,000
Hugo Garcia	MID	$687,000
Jack Silvagni	DEF	$680,000
Darcy Wilson	MID/FWD	$668,000
Cooper Sharman	FWD	$667,000
Hunter Clark	MID	$644,000
Mitchito Owens	FWD	$633,000
Mattaes Phillipou	FWD/MID	$610,000
Liam Ryan	FWD	$599,000
Hugh Boxshall	MID	$576,000
Anthony Caminiti	DEF/FWD	$564,000
Jack Higgins	FWD	$545,000
Liam Henry	FWD	$529,000
Liam Stocker	DEF	$491,000
Tobie Travaglia	DEF/MID	$479,000
Dougal Howard	DEF	$475,000
Paddy Dow	MID	$465,000
Alix Tauru	DEF/FWD	$442,000
Daniel Butler	FWD	$414,000
Isaac Keeler	FWD	$384,000
Angus Hastie	DEF	$379,000
Max King	FWD	$378,000
Liam O'Connell	DEF	$333,000
Jack Carroll	MID/DEF	$332,000
Lance Collard	FWD	$286,000
Eamonn Armstrong	DEF	$230,000
Kobe McDonald	DEF	$230,000
James Barrat	DEF/FWD	$230,000
Kye Fincher	DEF/MID	$230,000
Alex Dodson	FWD	$230,000
Patrick Said	MID/FWD	$230,000
Charlie Banfield	MID/FWD	$230,000
Campbell Lake	MID/FWD	$230,000
SWANS		
Brodie Grundy	RUC	$1,122,000
Errol Gulden	MID	$1,073,000
Isaac Heeney	MID	$1,016,000
Callum Mills	DEF	$944,000
Chad Warner	MID/FWD	$924,000
Nick Blakey	DEF	$892,000
Jake Lloyd	MID/FWD	$883,000
Matthew Roberts	DEF/MID	$868,000
James Rowbottom	MID/FWD	$824,000
Justin McInerney	MID/FWD	$824,000
Charlie Curnow	FWD	$690,000
Angus Sheldrick	MID	$651,000
Tom Papley	FWD	$650,000
Harry Cunningham	DEF	$607,000
James Jordon	MID/FWD	$597,000
Riley Bice	DEF	$595,000
Braeden Campbell	FWD	$594,000
Sam Wicks	DEF	$587,000
Tom McCartin	DEF	$583,000
Dane Rampe	DEF	$582,000
Taylor Adams	FWD	$581,000
Hayden McLean	FWD	$548,000
Joel Amartey	FWD	$534,000
Peter Ladhams	RUC/FWD	$534,000
Corey Warner	MID/FWD	$519,000
Caiden Cleary	FWD	$495,000
Lewis Melican	DEF	$483,000
Logan McDonald	FWD	$432,000
Malcolm Rosas	FWD	$350,000
Joel Hamling	DEF	$348,000
Tom Hanily	FWD	$327,000
Harry Kyle	DEF/MID	$298,000
Jai Serong	DEF/MID	$274,000
Jesse Dattoli	FWD	$273,000
Will Edwards	DEF	$230,000
Riak Andrew	DEF	$230,000
Patrick Snell	DEF/FWD	$230,000
Ned Bowman	FWD	$230,000
Noah Chamberlain	FWD	$230,000
Liam Hetherton	FWD	$230,000
Max King	FWD	$230,000
Jevan Phillipou	MID	$230,000
Billy Cootee	MID	$230,000
Will Green	RUC	$230,000
EAGLES		
Tom McCarthy	DEF	$876,000
Jack Graham	MID/FWD	$867,000
Liam Baker	DEF	$833,000
Liam Duggan	DEF	$830,000
Matthew Flynn	RUC	$826,000
Ryan Maric	DEF/MID	$789,000
Jake Waterman	FWD	$755,000
Harley Reid	MID	$700,000
Tom Cole	DEF/FWD	$697,000
Brady Hough	DEF/MID	$673,000
Elliot Yeo	MID/FWD	$667,000
Tim Kelly	MID/FWD	$664,000
Elijah Hewett	MID	$639,000
Jack Hutchinson	MID	$614,000Matt Owies
Jamie Cripps	FWD	$610,000
Reuben Ginbey	DEF	$578,000
Clay Hall	MID	$577,000
Tylar Young	DEF	$558,000
Bailey Williams	RUC/FWD	$552,000
Tyler Brockman	FWD	$517,000
Tyrell Dewar	DEF/MID	$504,000
Jobe Shanahan	FWD	$487,000
Jack Williams	FWD	$485,000
Brandon Starcevich	DEF	$479,000
Sandy Brock	DEF	$462,000
Matt Owies	FWD	$460,000
Rhett Bazzo	DEF	$449,000
Harry Edwards	DEF	$432,000
Lucca Grego	DEF	$429,000
Hamish Davis	MID	$424,000
Archer Reid	FWD	$375,000
Noah Long	FWD	$359,000
Willem Duursma	MID	$350,000
Tom Gross	MID/FWD	$344,000
Cooper Duff-Tytler	RUC/FWD	$338,000
Harry Schoenberg	MID/FWD	$320,000
Finlay Macrae	MID/FWD	$293,000
Josh Lindsay	DEF	$278,000
Bo Allan	DEF/MID	$246,000
Sam Allen	MID/FWD	$238,000
Deven Robertson	FWD/MID	$232,000
Harvey Johnston	DEF	$230,000
Jacob Newton	FWD	$230,000
Malakai Champion	FWD	$230,000
Fred Rodriguez	FWD	$230,000
Tylah Williams	MID/FWD	$230,000
Harry Barnett	RUC	$230,000
